sample_geo_accession	study	condition
GSM2638036	GSE99248	1
GSM2638037	GSE99248	1
GSM2638038	GSE99248	1
GSM2638039	GSE99248	1
GSM2638040	GSE99248	1
GSM2638041	GSE99248	1
GSM2638042	GSE99248	1
GSM2638043	GSE99248	1
GSM2638044	GSE99248	1
GSM2638045	GSE99248	1
GSM2638046	GSE99248	1
GSM2638047	GSE99248	1
GSM2638048	GSE99248	1
GSM2638049	GSE99248	1
GSM2638050	GSE99248	1
GSM2638051	GSE99248	4
GSM2638052	GSE99248	4
GSM2638053	GSE99248	4
GSM2638054	GSE99248	4
GSM2638055	GSE99248	4
GSM2638056	GSE99248	4
GSM2638057	GSE99248	4
GSM2638058	GSE99248	4
GSM2638059	GSE99248	4
GSM2638060	GSE99248	4
GSM2638061	GSE99248	4
GSM2638062	GSE99248	4
GSM2638063	GSE99248	4
GSM2638064	GSE99248	4
GSM2638065	GSE99248	4
GSM2638066	GSE99248	4
